v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,Yay can't wait to party together!,,,
ham,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",,,
ham,Lol. Well quality aint bad at all so i aint complaining,,,
ham,I am in hospital da. . I will return home in evening,,,
ham,DO U WANT 2 MEET UP 2MORRO,,,
ham,Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!,,,
ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",,,
ham,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,,,
ham,Are there TA jobs available? Let me know please cos i really need to start working,,,
ham,But i have to. I like to have love and arrange.,,,
ham,Ok but tell me half an hr b4 u come i need 2 prepare.,,,
ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ",,,
ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",,,
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,,,
spam,"This is the 2nd time we have tried to contact u. U have won the å£400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",,,
ham,"Miss ya, need ya, want ya, love ya.",,,
spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,,,
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,,,
spam,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",,,
spam,RCT' THNQ Adrian for U text. Rgds Vatian,,,
ham,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...,,,
spam,"Thanks for your ringtone order, ref number R836. Your mobile will be charged å£4.50. Should your tone not arrive please call customer services on 09065069154",,,
ham,Havent.,,,
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",,,
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",,,
ham,"Tonight? Yeah, I'd be down for that",,,
ham,Yes :)it completely in out of form:)clark also utter waste.,,,
ham,Does she usually take fifteen fucking minutes to respond to a yes or no question,,,
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",,,
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",,,
ham,Hey... Why dont we just go watch x men and have lunch... Haha ,,,
ham,Was playng 9 doors game and gt racing on phone lol,,,
ham,Lol ... I knew that .... I saw him in the dollar store,,,
ham,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night,,,
ham,Ambrith..madurai..met u in arun dha marrge..remembr?,,,
ham,"K, if u bored up just come to my home..",,,
ham,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,,,
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
ham,Roger that. We‰Û÷re probably going to rem in about 20,,,
ham,I am 6 ft. We will be a good combination!,,,
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.",,,
